model,training_fraction,offline_fraction,hours,coverage,n_windows,combined_mw,incremental_shift_mw,combined_actual_coverage,combined_linear_quantile_mw
power_curves,0.75,0.5,4,0.8,4433,8.027164289337001,4.867146960392675,0.8001353485224453,8.027164289337001
power_curves,0.75,0.5,4,0.9,4433,7.5794589991027514,4.643603594657182,0.9000676742612227,7.5794589991027514
power_curves,0.75,0.5,4,0.95,4433,7.247798343401282,4.488037207497513,0.9501466275659824,7.247798343401282
power_curves,0.75,0.5,4,0.99,4433,6.597456508728353,4.233428586967637,0.9907511842995714,6.597497974074508
power_curves,0.75,0.5,24,0.5,4393,8.457891813070432,5.15161189037211,0.5030730707944457,8.457891813070432
power_curves,0.75,0.5,24,0.8,4393,7.554515812029393,4.6278015672886195,0.8010471204188482,7.554515812029393
power_curves,0.75,0.5,24,0.9,4393,7.222541852658276,4.450459384100854,0.9007511950830868,7.222541852658276
power_curves,0.75,0.5,24,0.95,4393,6.7401066262896006,4.298483983672076,0.9521966765308445,6.7401066262896006
power_curves,0.75,0.5,24,0.99,4393,6.2423406654597215,4.096443487802421,0.9943091281584339,6.2423406654597215
power_curves,0.75,0.75,1,0.5,4439,9.141365404038275,5.587736042695995,0.5001126379815274,9.141365404038275
power_curves,0.75,0.75,1,0.8,4439,8.336622309120633,5.018817299543878,0.8001802207704438,8.33773559453972
power_curves,0.75,0.75,1,0.9,4439,7.865700401048429,4.792233547129333,0.9002027483667493,7.866382732244497
power_curves,0.75,0.75,1,0.95,4439,7.519428423936723,4.624377948724623,0.950214012164902,7.521258940305822
power_curves,0.75,0.75,1,0.99,4439,6.895952354458272,4.34648275215127,0.9900878576255914,6.896810782118459
power_curves,0.75,0.75,4,0.5,4433,8.881101091515664,5.478623640558109,0.5003383713061132,8.881101091515664
power_curves,0.75,0.75,4,0.8,4433,8.10150989119902,4.922533022356412,0.8001353485224453,8.10338261464748
power_curves,0.75,0.75,4,0.9,4433,7.633491919759988,4.709898428056767,0.9007444168734491,7.633843254831438
power_curves,0.75,0.75,4,0.95,4433,7.315146477482258,4.547119286603049,0.9505977893074667,7.315146477482258
power_curves,0.75,0.75,4,0.99,4433,6.669857290337291,4.2903925173709325,0.990300022558087,6.669857290337291
power_curves,0.75,0.75,24,0.5,4393,8.470394607230212,5.180054287222492,0.500341452310494,8.470394607230212
power_curves,0.75,0.75,24,0.8,4393,7.599498370337016,4.6964205997093655,0.802412929660824,7.599498370337016
power_curves,0.75,0.75,24,0.9,4393,7.294517748356135,4.500470753620236,0.9000682904620988,7.296741093276258
power_curves,0.75,0.75,24,0.95,4393,6.750915641901788,4.354599773420638,0.9531072160254951,6.750915641901788
power_curves,0.75,0.75,24,0.99,4393,6.269169990954245,4.099467420030019,0.9945367630320965,6.269169990954245
power_curves,0.75,1.0,1,0.5,4439,9.167733725735825,5.618221140587571,0.5001126379815274,9.167733725735825
power_curves,0.75,1.0,1,0.8,4439,8.387380874879433,5.073829957948443,0.8001802207704438,8.387668696064527
power_curves,0.75,1.0,1,0.9,4439,7.939379260660536,4.856387337957119,0.9002027483667493,7.939903112847315
power_curves,0.75,1.0,1,0.95,4439,7.566663463720259,4.680098939881851,0.950214012164902,7.5673880800094775
